,DalScience,DalLibraries,Dal_Alumni,DalGazette
10,"{'date': '11/26/2019, 15:53:53', 'full_text': 'Isabelle Roach is the 32nd King’s student, to become a Rhodes Scholar. Since 2017, she has taken many courses @DalhousieU as a King’s student while pursuing an honours in biology. She will pursue a masters in neuroscience at Oxford next year.  https://t.co/D64Hua0lLk https://t.co/BVsJXn3tuT'}","{'date': '01/27/2020, 12:43:15', 'full_text': 'https://t.co/kZ0ptj4B7N'}","{'date': '01/22/2020, 13:02:01', 'full_text': 'On February 10, all are welcome to attend the #OpenDialogue with @childsoldiers at #DalhousieU with speakers Omar Khadr and Ishmael Beah. Join the discussion about preventing the recruitment and use of children in violence. RSVP here: https://t.co/wYqgJ0u4AR'}","{'date': '01/26/2020, 22:35:56', 'full_text': 'RT @caromholland: there are many reasons students decide to pursue a PhD degree. one under-explored reason is revenge'}"
11,"{'date': '11/25/2019, 16:00:39', 'full_text': '@DalChemistry’s Alex Speed, assistant professor at Dalhousie University speaks to household hazards. https://t.co/mtFdRVKwUT'}","{'date': '01/20/2020, 18:19:41', 'full_text': 'https://t.co/fhMLb9z8oA'}","{'date': '01/21/2020, 17:08:05', 'full_text': 'Volunteer alongside fellow #DalAlumni in Vancouver on Feb. 15 at the @VanFoodBank. The GVFB assists more than 28,000 people every week with a mission of building stronger, connected communities through food. Volunteer space is limited so register today! https://t.co/GfEKt97KLh'}","{'date': '01/26/2020, 14:15:24', 'full_text': ""RT @ilyas_kurbanov7: It's #BellLetsTalk action today for  @DalTigers today at the @dalplex the men's Tigers volleyball will face off vs @Ca…""}"
12,"{'date': '11/22/2019, 00:30:31', 'full_text': 'The 17th Annual Discovery Awards are underway @CunardCentre. This year’s youth award recipient is Om Agarwal. @DalhousieU @Dal_Alumni https://t.co/afRiHR8qtZ'}","{'date': '01/20/2020, 11:49:42', 'full_text': 'The Wallace McCain Learning Commons will open at approximately 10 am this morning. @DalSecurity @DalhousieU'}","{'date': '01/21/2020, 15:21:52', 'full_text': 'RT @Hunter_dal: Albert (Buddy) Walzak @nsgov  #MPAM 99 @DalhousieU experience""  I am delighted to have the opportunity to share my perspect…'}","{'date': '01/24/2020, 23:24:21', 'full_text': 'RT @laurenstrapa: It costs $0 to credit @theeyeopener for their hard work uncovering the RSU spending situation'}"
13,"{'date': '11/14/2019, 16:44:39', 'full_text': 'Calling Science PhD students who are passionate about their research and want to share it with the world. 🗣🌎 Apply now for OpenThink – a @DalGradStudies initiative that will help you discover and tell your research story. Includes a $1,500 scholarship ➡ https://t.co/CId6H6eCrl'}","{'date': '01/18/2020, 15:24:36', 'full_text': 'UPDATE: The Wallace McCain Learning Commons is closed Sat., Jan 18 and Sun., Jan 19 due to a burst pipe. The closest alternative library space is the Killam, open from 10 am–midnight on Sat &amp; Sun. @DalhousieU @DalSecurity'}","{'date': '01/21/2020, 15:11:33', 'full_text': 'RT @DalhousieU: ""Mom worked hard, supported me, took good care of me, really pushed me to be what I wanted to be."" #WeAreDal 52 weeks. 52 s…'}","{'date': '01/24/2020, 20:04:14', 'full_text': 'RT @elamin88: This is all started with v/ good reporting from @theeyeopener which broke stories of potential financial mismanagement in the…'}"
14,"{'date': '11/13/2019, 14:51:31', 'full_text': 'RT @OceanTracking: In September, Dr. Heather Bowlby’s team from the Canadian Atlantic Shark Research Lab at @FishOceansCAN tagged a 16 foot…'}","{'date': '01/18/2020, 01:25:50', 'full_text': 'The Wallace McCain Learning Commons is closing early due flooding caused by a burst pipe. It will also be closed Sat., Jan 18. The closest alternative library space is the Killam, open till midnight tonight and from 10 am–midnight on Saturday. @DalhousieU @DalSecurity'}","{'date': '01/20/2020, 17:24:23', 'full_text': 'RT @ChildSoldiers: On February 10th, we are hosting a public discourse to mark the International Day Against the Use of Child Soldiers, in…'}","{'date': '01/24/2020, 14:17:26', 'full_text': 'Join us next week! https://t.co/PCjrHv9LgY https://t.co/0RiSYxfuQM'}"
15,"{'date': '11/08/2019, 18:54:23', 'full_text': 'RT @DalhousieChem: Packed room for Prof. Joe Schwarcz\'s first lecture, ""The Challenge of Separating Sense from Nonsense."" His public lectur…'}","{'date': '01/18/2020, 01:07:43', 'full_text': 'The Wallace McCain Learning Commons is closing early for the night to due flooding caused by a burst pipe. The closest alternative library space is the Killam, open till midnight tonight. @DalSecurity'}","{'date': '01/17/2020, 18:42:01', 'full_text': ""Check out this fun video featuring #DalAlumni Sarita Ekya's (BEng’99) Mac and Cheese restaurant in New York! https://t.co/oKItayhdZW""}","{'date': '01/23/2020, 15:08:19', 'full_text': 'RT @DalOfficeSust: The annual Sustainability &amp; Commuter Survey will be opening TOMORROW (Friday, Jan 24). Help us make @DalhousieU campuses…'}"
16,"{'date': '11/08/2019, 17:49:34', 'full_text': 'RT @DalVPR: An example of the world-changing research being done @DalhousieU   Saving the planet and making the future more sustainable. #D…'}","{'date': '01/17/2020, 19:43:35', 'full_text': 'The MacRae Library is closing at 4 pm today due to weather conditions. Check with @dalagriculture for information on what times other buildings on campus are closing. @memacinnis @Limpetman'}","{'date': '01/17/2020, 18:02:29', 'full_text': 'RT @DalPres: Humbled by the turnout at today’s welcome reception. Looking forward to events on Sexton, Carleton and @dalagriculture in the…'}","{'date': '01/21/2020, 13:18:26', 'full_text': 'RT @DalSecurity: “Tax Refund” Email Scam Targeting University Students: What to Watch For https://t.co/KXSgUC3bkI'}"
17,"{'date': '11/08/2019, 17:37:39', 'full_text': 'RT @DalhousieU: We miss you already. 😢 Wishing all #DalhousieU students a safe, relaxing and productive fall study break next week. https:/…'}","{'date': '01/17/2020, 14:37:44', 'full_text': 'https://t.co/rDQV6VbteG'}","{'date': '01/16/2020, 20:23:05', 'full_text': 'RT @FSPAdirector: Great review of @FSPADal @Dal_Alumni @jdutchermusic performing in Sydney! @DalPres how timely for you to see this link be…'}","{'date': '01/20/2020, 15:45:35', 'full_text': 'RT @ukings: All are invited to the annual MacLennan Lecture in the History of Science, with host Dr. @KimTallBear, on January 30. This year…'}"
18,"{'date': '11/07/2019, 22:32:27', 'full_text': 'It’s a full house of students, alumni, faculty and staff for the inaugural @Dal_ESnENVS Open House and Lecture in their new teaching space in the Life Sciences Centre. First up, is a lecture from Bill Mercer, VP Exploration, @AvalonAdvanced. @Dal_Alumni https://t.co/pAD6G5qtG8'}","{'date': '01/17/2020, 12:30:19', 'full_text': 'Please join us in welcoming Deborah Hemming back to the Dalhousie Libraries! https://t.co/Ss6EKKcOUp'}","{'date': '01/16/2020, 14:08:52', 'full_text': ""Advice from Karen Joudrey (BScOT'00) to help you break pain-inducing habits for those with desk jobs. #workshouldnthurt https://t.co/Xb5hgHkDwt""}","{'date': '01/20/2020, 14:15:50', 'full_text': 'RT @KatKeizer: The pod will be back up and running with the next issue! Stay tuned! https://t.co/56pjjkJo8W'}"
19,"{'date': '11/07/2019, 20:05:58', 'full_text': 'Tonight will mark the first ever @Dal_ESnENVS Open House and Lecture! Pop in, meet current students, faculty and members from the @Dal_Alumni community. There will be tours, a lecture by Bill Mercer @AvalonAdvanced and free food! RSVP here &gt;&gt;&gt; https://t.co/wTAf9Ks66U https://t.co/3BV2hWNyit'}","{'date': '01/16/2020, 15:44:26', 'full_text': 'Get to know our 12th President, Dr. Deep Saini, in this great interview. https://t.co/ZPwrzn6imP'}","{'date': '01/15/2020, 18:39:01', 'full_text': ""Today is Dr. Deep Saini's first day on campus as #DalhousieU's 12th president. Get to know Dal's new president through Q&amp;A's and a video interview. https://t.co/a9bKvmuvlr""}","{'date': '01/20/2020, 13:51:07', 'full_text': ""Yo! We still need someone for this. Unfortunately, trekking to Truro in winter isn't realistic for our Halifax-based staff and without a livestream we won't be able to cover the meeting. If you're attending and willing to tweet, please get in touch. https://t.co/NXV7lZFRgx""}"
