,workatdal,DalMedSchool,dalagriculture,SchulichLaw
268,"{'date': '07/12/2019, 13:29:32', 'full_text': ""RT @dalagriculture: Dalhousie Pride 2019 kicks off this week in Truro. Attend today's flag raising and strawberry social at 12 noon at the…""}","{'date': '06/04/2019, 15:50:42', 'full_text': 'RT @DrCChambers: Construction is starting this week on our new space for our @KidsInPain team based in @DalMedSchool @DalhousieU in Halifax…'}","{'date': '11/19/2019, 18:10:47', 'full_text': 'RT @DalhousieU: Are you following the @DalStudentLife blog? If not, you\'re missing great reads like ""My date with @BarackObama"" 🙌🏽 https://…'}","{'date': '10/02/2019, 16:30:12', 'full_text': 'Great explanation of the Peace and Friendship Treaties by @NaiomiMetallic -  https://t.co/DFdkx0gxsu #treatyday #mikmaqhistorymonth https://t.co/4WKE5ETFyv'}"
269,"{'date': '07/11/2019, 16:50:08', 'full_text': 'Faculty, staff &amp; students are invited to join the #DalhousieU contingent at the Halifax Pride Parade, Sat. July 20. Want to decorate the float? Meet at 10 am. Want to march in the parade? Join us at 12 pm, 2240 Valour Way.Details at https://t.co/Gf44ssDV8A #PrideatDal https://t.co/RJQsUTkYCS'}","{'date': '05/28/2019, 20:04:09', 'full_text': 'We’re getting underway shortly at our third #DalMedForward Town Hall. Tonight we are discussing our third pillar under our strategic plan, Serving and Engaging Society https://t.co/rjDtjbU7Rq'}","{'date': '11/18/2019, 19:56:47', 'full_text': 'Our #Aggies are innovators and visionaries, making a difference in their communities and around the world. Let’s recognize them with a #DalAurum Award! Nominate an alumnus online today: https://t.co/jdjmkMZjEF @Dal_Alumni https://t.co/kx4Kma0Hp8'}","{'date': '10/02/2019, 15:47:15', 'full_text': 'Congrats! Great work everyone! 👏#WeldonProud https://t.co/Hi6Mh4nzUz'}"
270,"{'date': '07/11/2019, 15:21:28', 'full_text': 'RT @dalagriculture: On your way to the farm, don’t forget to stop in for some face painting, button making and more in the upper parking lo…'}","{'date': '05/28/2019, 19:33:46', 'full_text': 'Starts at 5:00 in room 170 in the Collaborative Health Education Building in Halifax https://t.co/OeO7fC7jp4'}","{'date': '11/18/2019, 15:08:46', 'full_text': 'What is your \'Why Agriculture?"" #StrategicPlan #2020 https://t.co/PY1Gmwr7Vi https://t.co/srQWrNzfcS'}","{'date': '10/02/2019, 15:26:08', 'full_text': 'OCT 2 | Looking forward to celebrating the launch of ""Punished for Aging"" with Professor @adelina_iftene! Event starts at 6:30 with an introduction by @KPateontheHill. Details: https://t.co/Y0tHAWh4nc @DalhousieLSS @dalprisonlaw #prisonlawweek https://t.co/aH15ERtCtm'}"
271,"{'date': '07/10/2019, 14:10:16', 'full_text': 'Get outside today at lunch &amp; join an Edible Plant Walk, a guided nature walk on the Studley Campus led by Su Donovaro, from #TheLoadedLadle. Meet outside the Henry Hicks Building at 12:15 pm. Details at https://t.co/Us5UDBunGK'}","{'date': '05/27/2019, 19:29:00', 'full_text': 'RT @stephenmiller67: A big congrats to the Dal MD Class of 2019 on their convocation today. Big shout out to these grads who made it to the…'}","{'date': '11/17/2019, 18:54:49', 'full_text': 'RT @DalhousieU: #DalhousieU gear makes a great gift (for someone else, or for yourself! 😉 ) https://t.co/rA93Sh1B6S'}","{'date': '10/01/2019, 17:00:30', 'full_text': 'October 1 is #TreatyDay, which recognizes the anniversary of the 1752 Peace and Friendship Treaty. Treaty Day also marks the beginning of #MikmaqHistoryMonth. We look forward to celebrating Mi’kmaw culture and heritage this month. @DalhousieLSS https://t.co/Sopuidf8Rh'}"
272,"{'date': '07/10/2019, 13:35:19', 'full_text': 'RT @developns: There is lots of free music as part @HFXJazzFest! Check out the schedule and enjoy the sun https://t.co/j6X5eJchug'}","{'date': '05/27/2019, 19:16:49', 'full_text': 'RT @DalMedDean: Congratulations to graduates of the Dalhousie medical school class of 2019!!  Best wishes as you move into residencies. We…'}","{'date': '11/15/2019, 19:19:46', 'full_text': 'RT @DalhousieU: It’s Philanthropy Day! Today and every day, we can’t thank our donors enough for their incredible support. 👏 Learn more at…'}","{'date': '10/01/2019, 15:26:14', 'full_text': 'Thanks to our generous donors, students have completed internships at more than 60 organizations in Canada and around the world since 2009. Some have said that the internship changed their lives. Visit https://t.co/tuS24paPxL to support our internship program. https://t.co/9Q5l5ZtHZP'}"
273,"{'date': '07/09/2019, 17:35:06', 'full_text': 'DYK July is Relaxation Mth at #DalhousieU? Attend the Stress Relaxation Techniques session on July 11, 12 - 1 pm to learn ways to manage stress, practice stress reducing exercises &amp; understand the stress response. Register at https://t.co/Y6RZCva4SV #DalWorkWell'}","{'date': '05/27/2019, 18:38:05', 'full_text': 'RT @TypicallyTaha: Today, I received my Doctor of Medicine from @DalMedSchool 🎓\n\nWorld, meet Dr Khan 👩🏽\u200d⚕️💉\n\n#Classof2019 🌟 #DalGrad #DalPr…'}","{'date': '11/15/2019, 17:01:43', 'full_text': 'Jennifer works as the Manager, Compliance and Certification for Cooke Aquaculture, a leader in the global seafood industry who works closely with communities to produce high quality seafood for their customers. https://t.co/6b2HEERnyj @Dal_Alumni https://t.co/wedveQuUId'}","{'date': '10/01/2019, 13:08:08', 'full_text': 'RT @DalhousieU: Today, #TreatyDay, #DalhousieU is proud to recognize the anniversary of the 1752 Peace and Friendship Treaty and celebrate…'}"
274,"{'date': '07/09/2019, 16:56:34', 'full_text': ""RT @DalHealth: We're so excited for this event! https://t.co/7kER7KqAwG""}","{'date': '05/27/2019, 16:07:52', 'full_text': 'RT @fionafmilne: Picked up a new frame today with a lil something special in it! Introducing Dr. Fiona Milne 👩🏼\u200d⚕️👩🏼\u200d⚕️ @DalhousieU @DalMed…'}","{'date': '11/15/2019, 15:03:48', 'full_text': 'RT @DalhousieU: Have you participated yet? Between November 4th and 19th, staff and faculty members are encouraged to take part in #Dalhous…'}","{'date': '09/30/2019, 18:38:07', 'full_text': 'RT @DalLSS: Join us for a laid-back evening of live music and more! Prizes and treats will be generously provided by @thomsonreuters.\n\nWe’r…'}"
275,"{'date': '07/08/2019, 18:40:05', 'full_text': ""We're still looking for volunteers to help at our HR/@DalDPMG Growing Communities Series - Community Garden. Each Tues in July, we'll help in the garden &amp; donate produce to Loaded Ladle in support of its free meals program for students. Sign up at https://t.co/Vf3ekEJjTw https://t.co/fx0hJLMtG9""}","{'date': '05/27/2019, 16:03:12', 'full_text': 'The Dalhousie Medical Awards and Scholarships Ceremony is getting underway. Congratulations to all of the incredibly deserving recipients #DalGrad https://t.co/ZLZ8Yu0L5G'}","{'date': '11/15/2019, 13:55:53', 'full_text': 'Collins Horticultural Building has been a fixture on campus since 1913 and houses members of the Plant, Food and Environmental Sciences Department. #ThenandNow  #115years #FoundersDay2020 https://t.co/HgIBoM1eDO'}","{'date': '09/30/2019, 18:23:05', 'full_text': ""RT @DalLawHour: This Thursday, October 3rd, we can't wait to welcome back @KPateontheHill in conjunction with @dalprisonlaw! See you in 104…""}"
276,"{'date': '07/08/2019, 13:03:02', 'full_text': 'RT @hfxgov: Connect with community! Get involved and help advise Regional Council, community councils, and standing committees on important…'}","{'date': '05/27/2019, 13:57:17', 'full_text': 'RT @Dal_Alumni: Congratulations to the @DalMedSchool graduates! First Class of 2019 in Halifax. Welcome to the #DalAlumni family!\n\n#DalGrad…'}","{'date': '11/15/2019, 00:27:00', 'full_text': 'RT @DalGradStudies: Impress future employers with your ability to communicate complex ideas to the public with our new program, @DalOpenThi…'}","{'date': '09/30/2019, 17:34:05', 'full_text': 'RT @thejurisblogger: Looking forward to the Canadian Animal Law Conference presented by @SchulichLaw and @AnimalJustice this Friday to Sund…'}"
277,"{'date': '07/05/2019, 18:52:26', 'full_text': ""RT @thefilmfest: @feednovascotia will be at tonight's FIN Outdoor screening of GREASE, accepting food and money donations!\n\nGates open at 8…""}","{'date': '05/27/2019, 13:21:33', 'full_text': 'https://t.co/cgZiLWodGN'}","{'date': '11/15/2019, 00:26:51', 'full_text': 'RT @DrIvanJoseph: ""I\'ve never let anyone talk me into not believing in myself."" #MuhammadAli #selfconfidence'}","{'date': '09/30/2019, 16:30:11', 'full_text': 'RT @adelina_iftene: Happening this Wed @SchulichLaw: Halifax book launch for #PunishedforAging. We will talk health&amp;rights in prisons, with…'}"
